SNo,Month,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
2104,6,3,ITA,8,Emilia-Romagna,44.49436681,11.3417208,342,50,392,2447,2839,14,20856,4147,27842,202506
2105,6,3,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,39,2,41,192,233,0,2707,336,3276,81683
2106,6,3,ITA,12,Lazio,41.89277044,12.48366722,519,51,570,2248,2818,10,4188,747,7753,211669
2107,6,3,ITA,7,Liguria,44.41149315,8.9326992,169,6,175,339,514,17,7764,1473,9751,61006
2108,6,3,ITA,3,Lombardia,45.46679409,9.190347404,2995,131,3126,17098,20224,237,53046,16172,89442,458782
2109,6,3,ITA,11,Marche,43.61675973,13.5188753,57,8,65,1245,1310,1,4438,987,6735,66805
2110,6,3,ITA,14,Molise,41.55774754,14.65916051,1,2,3,124,127,0,287,22,436,14439
2111,6,3,ITA,21,P.A. Bolzano,46.49933453,11.35662422,13,3,16,104,120,0,2187,291,2598,31800
2112,6,3,ITA,22,P.A. Trento,46.06893511,11.12123097,15,2,17,205,222,1,3748,463,4433,49626
2113,6,3,ITA,1,Piemonte,45.0732745,7.680687483,841,44,885,3801,4686,19,22150,3898,30734,212012
2114,6,3,ITA,16,Puglia,41.12559576,16.86736689,131,10,141,895,1036,1,2952,511,4499,82041
2115,6,3,ITA,20,Sardegna,39.21531192,9.110616306,12,1,13,133,146,0,1080,131,1357,50057
2116,6,3,ITA,19,Sicilia,38.11569725,13.3623567,60,7,67,813,880,0,2292,275,3447,131820
2117,6,3,ITA,9,Toscana,43.76923077,11.25588885,76,25,101,872,973,4,8093,1055,10121,183229
2118,6,3,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,14,31,0,1324,76,1431,51310
2119,6,3,ITA,2,Valle d'Aosta,45.73750286,7.320149366,9,0,9,4,13,0,1031,143,1187,12084
2120,6,3,ITA,5,Veneto,45.43490485,12.33845213,106,2,108,1279,1387,2,15856,1921,19164,341333
2121,6,4,ITA,13,Abruzzo,42.35122196,13.39843823,109,3,112,592,704,3,2136,415,3255,54527
2122,6,4,ITA,17,Basilicata,40.63947052,15.80514834,3,0,3,17,20,0,352,27,399,30706
2123,6,4,ITA,18,Calabria,38.90597598,16.59440194,19,0,19,83,102,0,959,97,1158,70813
2124,6,4,ITA,15,Campania,40.83956555,14.25084984,160,5,165,665,830,1,3572,420,4822,102305
2125,6,4,ITA,8,Emilia-Romagna,44.49436681,11.3417208,320,49,369,2319,2688,18,21018,4154,27860,204614
2126,6,4,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,34,2,36,177,213,3,2730,336,3279,81854
2127,6,4,ITA,12,Lazio,41.89277044,12.48366722,488,51,539,2215,2754,11,4260,750,7764,214051
2128,6,4,ITA,7,Liguria,44.41149315,8.9326992,149,6,155,239,394,21,7899,1479,9772,61688
2129,6,4,ITA,3,Lombardia,45.46679409,9.190347404,2954,125,3079,17145,20224,84,53101,16201,89526,460658
2130,6,4,ITA,11,Marche,43.61675973,13.5188753,52,5,57,1246,1303,3,4447,988,6738,67429
2131,6,4,ITA,14,Molise,41.55774754,14.65916051,0,2,2,123,125,0,288,23,436,15261
2132,6,4,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,103,112,0,2194,292,2598,32135
